airbnb_listing_id,n_stay_dates,coverage_ratio,avg_daily_price,annual_revenue_occ_40,annual_revenue_occ_50,annual_revenue_occ_60
1307990676918354925,79,0.8681,547.25,79898.04,99872.55,119847.06
1311575286815584867,82,0.9011,790.96,115480.21,144350.27,173220.32
1318376138623084691,85,0.9341,785.41,114670.40,143338.00,172005.61
1333504785474035960,82,0.9011,588.65,85942.37,107427.96,128913.55
16253828,73,0.8022,1605.47,234399.00,292998.75,351598.50
16321793,72,0.7912,518.06,75636.11,94545.14,113454.17
16730935,89,0.9780,250.00,36500.00,45625.00,54750.00
16992951,62,0.6813,531.05,77533.06,96916.33,116299.60
18395333,59,0.6484,611.02,89208.47,111510.59,133812.71
20943549,57,0.6264,381.76,55737.59,69671.99,83606.39
21280090,57,0.6264,815.84,119112.31,148890.38,178668.46
22648075,65,0.7143,396.66,57912.58,72390.73,86868.88
23078040,54,0.5934,774.07,113014.81,141268.52,169522.22
26839303,46,0.5055,692.20,101061.46,126326.83,151592.20
27704027,79,0.8681,734.18,107189.87,133987.34,160784.81
27981528,46,0.5055,490.11,71555.87,89444.84,107333.80
28366360,66,0.7253,775.43,113213.05,141516.31,169819.57
28429135,63,0.6923,433.17,63242.64,79053.30,94863.96
29870406,65,0.7143,781.19,114054.08,142567.60,171081.12
30332330,46,0.5055,308.03,44971.97,56214.96,67457.95
30560948,67,0.7363,782.57,114255.61,142819.51,171383.41
30617740,71,0.7802,556.49,81247.97,101559.96,121871.96
30785010,50,0.5495,487.05,71109.30,88886.63,106663.95
30910938,54,0.5934,475.15,69371.63,86714.54,104057.44
31055581,69,0.7582,422.10,61626.81,77033.51,92440.22
31059537,58,0.6374,783.94,114455.61,143069.51,171683.41
31380471,57,0.6264,767.66,112078.05,140097.57,168117.08
31441134,90,0.9890,1502.87,219418.53,274273.17,329127.80
31859744,69,0.7582,489.13,71413.04,89266.30,107119.57
31945494,53,0.5824,551.09,80459.77,100574.72,120689.66
32606991,61,0.6703,574.68,83903.33,104879.16,125854.99
34866449,59,0.6484,468.93,68464.10,85580.13,102696.15
37118794,62,0.6813,1000.00,146000.00,182500.00,219000.00
37347085,88,0.9670,494.52,72200.32,90250.40,108300.48
